fecha;zona1;zona2;zona3;zona4;zona5;zona6
06/02/2017;47.75;43.0;47.5;30.6;35.0;23.5
06/03/2017;24.5;20.0;22.5;13.6;16.75;10.75
06/04/2017;16.5;13.33;16.75;8.6;12.0;7.0
06/05/2017;30.0;30.67;29.75;20.2;24.75;14.5
06/06/2017;29.0;27.67;24.0;19.6;23.0;12.5
06/07/2017;48.5;42.33;46.75;31.0;36.0;25.25
06/08/2017;43.75;38.0;39.75;27.0;29.5;23.25
06/09/2017;44.5;43.33;45.5;32.4;33.25;30.33
06/10/2017;46.75;42.0;46.0;38.6;39.75;27.0
06/11/2017;40.75;38.67;46.5;35.2;31.0;27.67
06/12/2017;43.0;35.33;44.25;30.4;30.0;27.0
06/13/2017;42.25;40.67;40.5;28.4;32.0;21.5
06/14/2017;49.75;45.67;43.0;36.0;34.25;26.5
06/15/2017;65.25;59.33;59.5;44.6;53.5;32.75
06/16/2017;61.0;53.33;46.25;39.4;46.25;32.75
06/17/2017;45.75;34.0;38.25;29.8;30.67;21.0
06/18/2017;28.25;22.67;25.5;19.2;21.33;16.0
06/19/2017;39.5;34.67;33.5;24.4;26.5;23.0
06/20/2017;42.5;39.0;37.5;29.0;32.75;24.33
06/21/2017;56.5;55.33;51.5;41.0;45.0;34.0
06/22/2017;53.75;53.67;55.25;38.0;39.75;32.0
06/23/2017;36.5;43.33;42.5;30.4;32.75;18.5
06/24/2017;24.5;27.0;30.75;28.0;23.0;13.25
06/25/2017;34.75;29.67;36.5;28.2;27.0;19.5
06/26/2017;31.5;32.0;34.25;22.4;23.5;19.75
06/27/2017;34.5;33.33;41.75;31.8;29.0;22.25
06/28/2017;17.75;19.0;19.75;11.0;11.75;7.5
06/29/2017;21.5;21.0;20.0;9.2;11.25;7.0
06/30/2017;23.25;28.5;19.75;13.8;16.25;7.25
07/01/2017;12.75;10.33;17.0;7.4;8.25;5.25
07/02/2017;17.5;12.0;21.0;8.2;10.5;9.25
07/03/2017;38.25;30.67;37.0;22.6;22.75;21.25
07/04/2017;36.5;31.33;39.25;24.2;23.5;22.75
07/05/2017;33.25;31.33;32.75;19.0;24.0;17.25
07/06/2017;39.75;33.33;43.25;29.4;35.25;24.0
07/07/2017;39.5;32.0;42.25;32.4;38.75;23.25
07/08/2017;36.25;32.67;38.75;33.2;38.5;21.5
07/09/2017;37.25;36.67;42.5;35.2;41.25;23.0
07/10/2017;34.75;39.33;37.25;30.6;37.0;22.0
07/11/2017;50.5;48.67;56.25;41.0;52.75;30.0
07/12/2017;64.75;65.67;69.0;53.0;67.25;38.0
07/13/2017;69.25;63.33;74.75;50.6;69.0;42.25
07/14/2017;53.5;45.33;57.0;37.0;49.67;33.0
07/15/2017;29.0;23.33;35.5;18.2;27.5;16.0
07/16/2017;31.5;29.33;35.75;25.4;31.5;16.5
07/17/2017;45.5;44.33;51.25;38.2;42.25;28.0
07/18/2017;39.75;38.33;36.67;30.0;31.5;25.0
07/19/2017;27.0;28.67;28.25;21.4;24.0;12.75
07/20/2017;34.0;33.33;34.5;25.8;30.0;19.5
07/21/2017;31.5;34.33;35.25;31.4;31.0;18.25
07/22/2017;29.25;26.67;32.25;23.8;34.25;15.75
07/23/2017;30.5;20.0;28.5;21.2;30.0;14.5
07/24/2017;28.25;23.0;28.0;23.4;26.25;14.0
07/25/2017;21.75;16.33;22.5;10.0;16.75;8.75
07/26/2017;35.75;33.67;36.0;25.2;34.5;18.25
07/27/2017;49.67;41.67;47.25;35.8;43.75;27.0
07/28/2017;56.67;60.0;60.0;53.4;51.25;29.75
07/29/2017;49.0;53.67;51.0;48.6;44.75;27.75
07/30/2017;34.25;33.33;39.0;34.2;34.75;21.0
07/31/2017;34.25;35.67;38.0;33.8;35.75;21.0
08/01/2017;30.0;31.0;33.0;34.0;37.75;17.0
08/02/2017;42.75;37.0;47.25;36.0;48.5;23.25
08/03/2017;46.5;42.0;50.0;38.0;45.5;31.25
08/04/2017;39.75;35.33;41.25;39.8;40.5;20.0
08/05/2017;31.5;22.67;35.75;22.4;30.5;16.5
08/06/2017;15.25;13.67;18.25;9.8;14.5;7.5
08/07/2017;26.5;23.67;27.75;23.2;23.5;14.25
08/08/2017;20.75;19.0;19.75;14.8;19.0;11.0
08/09/2017;21.0;15.33;21.75;14.2;20.25;11.0
08/10/2017;17.0;10.67;18.25;7.8;13.75;7.25
08/11/2017;25.5;17.33;27.0;13.0;22.5;13.5
08/12/2017;30.75;23.0;28.5;21.4;22.75;14.75
08/13/2017;32.0;26.67;37.0;28.4;36.0;18.25
08/14/2017;28.0;21.67;27.5;21.4;21.5;17.75
08/15/2017;18.0;14.0;18.25;13.4;13.75;10.25
08/16/2017;41.5;35.67;39.75;39.4;44.0;20.0
08/17/2017;37.75;32.33;41.75;34.2;35.75;21.0
08/18/2017;49.5;42.0;50.75;42.0;51.5;28.75
08/19/2017;23.25;15.67;25.5;11.8;18.5;9.5
08/20/2017;23.25;14.67;27.5;15.0;19.5;11.5
08/21/2017;30.75;27.33;36.75;30.5;30.5;20.25
08/22/2017;31.75;27.0;32.75;27.0;28.25;18.5
08/23/2017;48.5;43.33;54.25;45.75;48.75;27.5
08/24/2017;39.0;34.67;45.25;33.0;44.5;24.5
08/25/2017;43.0;38.33;55.0;46.0;47.75;31.0
08/26/2017;43.25;37.0;46.75;32.5;40.25;29.75
08/27/2017;21.0;14.67;22.5;18.6;16.25;14.0
08/28/2017;33.25;28.0;38.75;31.6;38.5;25.25
08/29/2017;30.25;24.0;32.25;21.0;30.75;20.75
08/30/2017;30.5;28.0;34.0;26.8;31.5;21.75
08/31/2017;27.5;21.33;30.25;19.8;27.75;16.0
09/01/2017;24.0;15.33;28.0;14.6;20.5;12.0
09/02/2017;31.25;25.33;32.75;24.2;26.5;17.5
09/03/2017;45.25;37.33;48.75;34.6;45.25;32.5
09/04/2017;30.25;23.0;32.5;26.0;31.75;18.25
09/05/2017;45.75;38.33;45.25;39.8;46.5;32.5
09/06/2017;44.0;31.5;47.25;31.6;41.75;23.75
09/07/2017;31.25;14.67;36.5;18.6;25.0;16.25
09/08/2017;55.25;31.67;62.33;46.0;50.75;33.0
09/09/2017;27.0;13.67;22.75;13.2;23.5;9.75
09/10/2017;20.5;12.33;20.5;14.0;18.25;11.0
09/11/2017;31.75;23.67;37.75;36.0;36.75;17.25
09/12/2017;31.75;24.67;28.33;23.2;32.5;17.5
09/13/2017;56.75;47.33;59.67;49.0;55.0;36.25
09/14/2017;51.5;46.0;58.75;46.4;55.75;33.25
09/15/2017;21.0;11.67;25.0;12.2;16.5;9.0
09/16/2017;23.75;15.67;21.5;15.2;20.5;11.0
09/17/2017;35.0;28.33;37.75;27.6;38.25;22.5
09/18/2017;37.0;33.67;39.0;44.4;43.75;19.25
09/19/2017;50.5;44.67;60.0;51.0;60.5;35.75
09/20/2017;61.75;53.33;68.5;55.2;61.5;39.25
09/21/2017;68.5;59.67;81.25;56.0;78.75;48.0
09/22/2017;45.75;33.0;58.75;35.6;43.0;32.75
09/23/2017;42.0;36.33;49.5;38.8;39.0;28.0
09/24/2017;52.25;45.0;69.5;47.4;61.75;35.75
09/25/2017;44.5;44.0;58.25;43.2;53.25;29.5
09/26/2017;40.75;39.67;49.75;34.4;42.25;29.75
09/27/2017;57.5;67.0;72.25;60.8;68.75;45.5
09/28/2017;68.75;81.0;82.25;65.2;80.25;50.0
09/29/2017;65.75;73.0;79.25;63.2;71.75;52.25
09/30/2017;67.0;59.0;67.5;48.2;63.5;39.0
10/01/2017;29.0;16.5;32.0;18.2;22.25;15.5
10/02/2017;47.25;37.5;54.0;34.0;44.5;32.0
10/03/2017;52.75;56.67;58.75;46.4;49.75;38.25
