fecha;estacion018;estacion024;estacion058;estacion060
06/18/2017;25.0;13.0;12.0;14.0
06/19/2017;29.0;17.0;19.0;27.0
06/20/2017;29.0;17.0;27.0
06/21/2017;47.0;20.0;35.0
06/22/2017;44.0;16.0;36.0
06/23/2017;25.0;8.0;14.0;27.0
06/24/2017;19.0;6.0;10.0;18.0
06/25/2017;30.0;14.0;14.0;20.0
06/26/2017;26.0;15.0;16.0;22.0
06/27/2017;33.0;15.0;18.0;23.0
06/28/2017;13.0;3.0;3.0;11.0
06/29/2017;10.0;3.0;5.0;10.0
06/30/2017;10.0;4.0;3.0;12.0
07/01/2017;9.0;4.0;3.0;5.0
07/02/2017;15.0;9.0;6.0;7.0
07/03/2017;30.0;19.0;15.0;21.0
07/04/2017;30.0;18.0;19.0;24.0
07/05/2017;21.0;11.0;15.0;22.0
07/06/2017;37.0;21.0;12.0;26.0
07/07/2017;36.0;20.0;12.0;25.0
07/08/2017;34.0;16.0;13.0;23.0
07/09/2017;36.0;16.0;13.0;27.0
07/10/2017;29.0;12.0;18.0;29.0
07/11/2017;47.0;22.0;19.0;32.0
07/12/2017;58.0;28.0;24.0;42.0
07/13/2017;65.0;35.0;25.0;44.0
07/14/2017;50.0;25.0;27.0;30.0
07/15/2017;26.0;12.0;13.0;13.0
07/16/2017;27.0;13.0;10.0;16.0
07/17/2017;36.0;21.0;22.0;33.0
07/18/2017;31.0;19.0;20.0;30.0
07/19/2017;19.0;7.0;9.0;16.0
07/20/2017;25.0;13.0;17.0;23.0
07/21/2017;23.0;9.0;14.0;27.0
07/22/2017;24.0;10.0;11.0;18.0
07/23/2017;26.0;11.0;10.0;11.0
07/24/2017;20.0;10.0;10.0;16.0
07/25/2017;14.0;7.0;5.0;9.0
07/26/2017;28.0;15.0;11.0;19.0
07/27/2017;41.0;18.0;18.0;31.0
07/28/2017;42.0;18.0;17.0;42.0
07/29/2017;37.0;19.0;17.0;38.0
07/30/2017;31.0;12.0;13.0;28.0
07/31/2017;31.0;14.0;13.0;26.0
08/01/2017;24.0;9.0;12.0;23.0
08/02/2017;36.0;18.0;13.0;26.0
08/03/2017;45.0;28.0;17.0;35.0
08/04/2017;28.0;12.0;16.0;24.0
08/05/2017;31.0;11.0;10.0;14.0
08/06/2017;12.0;4.0;5.0;9.0
08/07/2017;20.0;10.0;9.0;18.0
08/08/2017;15.0;7.0;9.0;13.0
08/09/2017;17.0;9.0;7.0;11.0
08/10/2017;12.0;5.0;4.0;8.0
08/11/2017;21.0;13.0;9.0;11.0
08/12/2017;25.0;12.0;7.0;15.0
08/13/2017;31.0;17.0;8.0;17.0
08/14/2017;23.0;15.0;15.0;18.0
08/15/2017;13.0;7.0;9.0;12.0
08/16/2017;29.0;14.0;13.0;24.0
08/17/2017;34.0;16.0;11.0;23.0
08/18/2017;44.0;25.0;15.0;31.0
08/19/2017;16.0;7.0;7.0;8.0
08/20/2017;20.0;11.0;6.0;9.0
08/21/2017;30.0;17.0;11.0;23.0
08/22/2017;24.0;13.0;16.0;21.0
08/23/2017;41.0;21.0;18.0;30.0
08/24/2017;40.0;16.0;16.0;26.0
08/25/2017;46.0;21.0;18.0;39.0
08/26/2017;41.0;27.0;17.0;34.0
08/27/2017;18.0;12.0;11.0;15.0
08/28/2017;36.0;25.0;16.0;24.0
08/29/2017;28.0;19.0;15.0;21.0
08/30/2017;28.0;17.0;17.0;25.0
08/31/2017;22.0;13.0;14.0;15.0
09/01/2017;19.0;10.0;6.0;13.0
09/02/2017;27.0;15.0;10.0;18.0
09/03/2017;44.0;30.0;24.0;32.0
09/04/2017;24.0;13.0;15.0;21.0
09/05/2017;45.0;24.0;23.0;38.0
09/06/2017;35.0;19.0;15.0;26.0
09/07/2017;25.0;13.0;11.0;16.0
09/08/2017;49.0;23.0;21.0;39.0
09/09/2017;15.0;5.0;8.0;11.0
09/10/2017;14.0;8.0;10.0;12.0
09/11/2017;28.0;8.0;11.0;22.0
09/12/2017;25.0;12.0;11.0;22.0
09/13/2017;55.0;27.0;18.0;45.0
09/14/2017;47.0;24.0;23.0;39.0
09/15/2017;14.0;8.0;3.0;11.0
09/16/2017;18.0;8.0;5.0;13.0
09/17/2017;34.0;17.0;12.0;27.0
09/18/2017;30.0;11.0;12.0;24.0
09/19/2017;53.0;27.0;18.0;45.0
09/20/2017;60.0;29.0;23.0;45.0
09/21/2017;68.0;41.0;25.0;58.0
09/22/2017;47.0;25.0;24.0;35.0
09/23/2017;40.0;24.0;18.0;30.0
09/24/2017;57.0;32.0;17.0;37.0
09/25/2017;42.0;19.0;20.0;37.0
09/26/2017;41.0;26.0;21.0;31.0
09/27/2017;64.0;41.0;24.0;53.0
09/28/2017;67.0;44.0;25.0;64.0
09/29/2017;70.0;44.0;29.0;66.0
09/30/2017;55.0;36.0;23.0;42.0
10/01/2017;26.0;12.0;11.0;13.0
10/02/2017;48.0;28.0;18.0;34.0
10/03/2017;52.0;30.0;24.0;47.0
10/04/2017;39.0;27.0;17.0;35.0
10/05/2017;70.0;49.0;30.0;62.0
10/06/2017;43.0;21.0;15.0;26.0
10/07/2017;39.0;21.0;13.0;25.0
10/08/2017;55.0;38.0;20.0;47.0
10/09/2017;69.0;44.0;23.0;53.0
10/10/2017;75.0;56.0;30.0;57.0
10/11/2017;86.0;69.0;32.0;75.0
10/12/2017;75.0;50.0;27.0;50.0
10/13/2017;69.0;39.0;22.0;49.0
10/14/2017;60.0;45.0;22.0;50.0
10/15/2017;52.0;43.0;20.0;32.0
10/16/2017;46.0;34.0;25.0;47.0
10/17/2017;48.0;39.0;28.0;50.0
10/18/2017;39.0;24.0;25.0;37.0
10/19/2017;44.0;26.0;18.0;44.0
10/20/2017;47.0;31.0;23.0;43.0
10/21/2017;35.0;23.0;17.0;32.0
10/22/2017;43.0;24.0;17.0;22.0
10/23/2017;62.0;40.0;27.0;48.0
10/24/2017;68.0;57.0;35.0;55.0
10/25/2017;76.0;63.0;40.0;61.0
10/26/2017;81.0;70.0;44.0;69.0
10/27/2017;56.0;38.0;25.0;39.0
10/28/2017;48.0;30.0;16.0;23.0
10/29/2017;49.0;27.0;17.0;23.0
10/30/2017;43.0;26.0;17.0;29.0
10/31/2017;54.0;39.0;21.0;44.0
11/01/2017;53.0;35.0;19.0;35.0
11/02/2017;58.0;39.0;30.0;51.0
11/03/2017;54.0;38.0;27.0;53.0
11/04/2017;34.0;17.0;14.0;33.0
11/05/2017;35.0;16.0;11.0;17.0
11/06/2017;51.0;29.0;17.0;25.0
11/07/2017;62.0;55.0;43.0;73.0
11/08/2017;45.0;30.0;19.0;38.0
11/09/2017;31.0;15.0;11.0;19.0
11/10/2017;64.0;40.0;24.0;43.0
11/11/2017;61.0;45.0;23.0;64.0
11/12/2017;53.0;36.0;22.0;47.0
11/13/2017;42.0;25.0;15.0;31.0
11/14/2017;67.0;47.0;35.0;65.0
11/15/2017;79.0;67.0;44.0;75.0
11/16/2017;90.0;74.0;50.0;84.0
11/17/2017;90.0;68.0;40.0;78.0
11/18/2017;63.0;51.0;24.0;44.0
11/19/2017;68.0;51.0;27.0;51.0
11/20/2017;90.0;79.0;52.0;90.0
11/21/2017;92.0;77.0;52.0;90.0
11/22/2017;92.0;75.0;54.0;84.0
11/23/2017;90.0;67.0;51.0;95.0
11/24/2017;79.0;58.0;32.0;76.0
11/25/2017;56.0;40.0;11.0;42.0
11/26/2017;39.0;23.0;12.0;23.0
11/27/2017;76.0;54.0;39.0;68.0
11/28/2017;81.0;73.0;60.0;80.0
11/29/2017;46.0;34.0;26.0;41.0
11/30/2017;26.0;16.0;36.0
