fecha;estacion011;estacion039;estacion050
10/30/2017;40.0;40.0;30.0
10/31/2017;59.0;55.0;49.0
11/01/2017;52.0;48.0;40.0
11/02/2017;71.0;65.0;55.0
11/03/2017;73.0;61.0;59.0
11/04/2017;42.0;38.0;40.0
11/05/2017;35.0;28.0;31.0
11/06/2017;36.0;41.0;35.0
11/07/2017;80.0;75.0;68.0
11/08/2017;56.0;44.0;51.0
11/09/2017;26.0;24.0;26.0
11/10/2017;55.0;52.0;49.0
11/11/2017;78.0;71.0;67.0
11/12/2017;68.0;60.0;56.0
11/13/2017;44.0;41.0;41.0
11/14/2017;79.0;70.0;74.0
11/15/2017;101.0;86.0;81.0
11/16/2017;108.0;100.0;89.0
11/17/2017;99.0;97.0;84.0
11/18/2017;67.0;69.0;49.0
11/19/2017;76.0;70.0;60.0
11/20/2017;99.0;115.0;79.0
11/21/2017;111.0;116.0;89.0
11/22/2017;93.0;98.0;77.0
11/23/2017;116.0;125.0;97.0
11/24/2017;82.0;87.0;77.0
11/25/2017;54.0;56.0;42.0
11/26/2017;34.0;31.0;26.0
11/27/2017;85.0;85.0;70.0
11/28/2017;87.0;89.0;78.0
11/29/2017;49.0;46.0;44.0
11/30/2017;41.0;42.0;42.0
08/26/2017;33.0;41.0
