fecha;estacion008;estacion011;estacion039;estacion047;estacion049;estacion050;estacion056
04/17/2017;68.0;51.0;53.0;46.0;36.0;50.0;50.0
04/18/2017;49.0;27.0;22.0;32.0;18.0;24.0;49.0
04/19/2017;38.0;24.0;20.0;21.0;14.0;18.0;33.0
04/20/2017;39.0;25.0;19.0;22.0;12.0;16.0;37.0
04/21/2017;45.0;32.0;27.0;28.0;16.0;23.0;43.0
04/22/2017;51.0;33.0;33.0;34.0;19.0;24.0;51.0
04/23/2017;64.0;51.0;51.0;54.0;32.0;43.0;57.0
04/24/2017;72.0;55.0;48.0;53.0;40.0;48.0;69.0
04/25/2017;61.0;44.0;32.0;35.0;25.0;44.0;35.0
04/26/2017;44.0;29.0;17.0;17.0;11.0;32.0;24.0
04/27/2017;38.0;16.0;14.0;20.0;13.0;16.0;32.0
04/28/2017;36.0;22.0;17.0;19.0;13.0;18.0;31.0
04/29/2017;44.0;32.0;26.0;30.0;20.0;25.0;36.0
04/30/2017;40.0;24.0;19.0;19.0;13.0;29.0;18.0
05/01/2017;30.0;18.0;15.0;18.0;10.0;22.0;21.0
05/02/2017;47.0;35.0;33.0;40.0;23.0;30.0;45.0
05/03/2017;61.0;51.0;42.0;44.0;31.0;42.0;64.0
05/04/2017;82.0;62.0;60.0;65.0;50.0;53.0;84.0
05/05/2017;60.0;34.0;33.0;29.0;20.0;37.0;37.0
05/06/2017;39.0;17.0;15.0;10.0;5.0;26.0;17.0
05/07/2017;47.0;29.0;28.0;35.0;17.0;26.0;47.0
05/08/2017;58.0;44.0;39.0;40.0;23.0;42.0;62.0
05/09/2017;67.0;43.0;38.0;36.0;26.0;43.0;52.0
05/10/2017;42.0;25.0;17.0;12.0;8.0;27.0;20.0
05/11/2017;53.0;21.0;20.0;17.0;13.0;35.0;24.0
05/12/2017;54.0;29.0;26.0;26.0;20.0;40.0;28.0
05/13/2017;41.0;14.0;14.0;16.0;10.0;22.0;21.0
05/14/2017;46.0;27.0;24.0;24.0;30.0;28.0
05/15/2017;53.0;38.0;31.0;39.0;34.0;36.0
05/16/2017;68.0;46.0;42.0;50.0;28.0;37.0;54.0
05/17/2017;58.0;38.0;30.0;29.0;20.0;33.0;30.0
05/18/2017;46.0;32.0;21.0;23.0;17.0;33.0;19.0
05/19/2017;52.0;36.0;27.0;29.0;19.0;37.0
05/20/2017;57.0;39.0;40.0;38.0;22.0;34.0;61.0
05/21/2017;56.0;29.0;28.0;41.0;29.0;27.0;59.0
05/22/2017;74.0;61.0;55.0;48.0;37.0;55.0;68.0
05/23/2017;52.0;25.0;19.0;28.0;16.0;21.0;53.0
05/24/2017;65.0;46.0;50.0;34.0;21.0;37.0;66.0
05/25/2017;66.0;49.0;40.0;33.0;20.0;43.0;62.0
05/26/2017;71.0;44.0;39.0;37.0;23.0;46.0;64.0
05/27/2017;45.0;27.0;22.0;19.0;13.0;20.0;43.0
05/28/2017;38.0;21.0;15.0;13.0;6.0;19.0;29.0
05/29/2017;52.0;27.0;23.0;17.0;11.0;35.0;28.0
05/30/2017;43.0;30.0;21.0;26.0;15.0;29.0;43.0
05/31/2017;60.0;45.0;32.0;31.0;23.0;40.0;53.0
06/01/2017;60.0;46.0;33.0;36.0;23.0;37.0;60.0
06/02/2017;69.0;52.0;35.0;37.0;29.0;42.0;55.0
06/03/2017;37.0;22.0;15.0;15.0;10.0;23.0;28.0
06/04/2017;26.0;15.0;10.0;13.0;7.0;15.0;21.0
06/05/2017;50.0;33.0;25.0;22.0;16.0;34.0;31.0
06/06/2017;43.0;32.0;20.0;17.0;12.0;31.0;24.0
06/07/2017;64.0;47.0;40.0;37.0;24.0;40.0;62.0
06/08/2017;61.0;43.0;34.0;27.0;22.0;37.0;49.0
06/09/2017;68.0;43.0;41.0;31.0;25.0;46.0;58.0
06/10/2017;66.0;50.0;42.0;35.0;22.0;34.0;61.0
06/11/2017;62.0;46.0;40.0;32.0;26.0;30.0;66.0
06/12/2017;57.0;42.0;37.0;34.0;24.0;27.0;62.0
06/13/2017;60.0;48.0;37.0;28.0;15.0;37.0;59.0
06/14/2017;74.0;48.0;41.0;33.0;25.0;48.0;40.0
06/15/2017;92.0;63.0;55.0;56.0;44.0;60.0;46.0
06/16/2017;77.0;62.0;47.0;40.0;29.0;51.0;39.0
06/17/2017;55.0;40.0;29.0;39.0;23.0;33.0;36.0
06/18/2017;41.0;27.0;23.0;21.0;11.0;18.0;29.0
06/19/2017;52.0;41.0;32.0;29.0;20.0;31.0;33.0
06/20/2017;56.0;45.0;31.0;33.0;22.0;41.0;39.0
06/21/2017;72.0;59.0;54.0;44.0;27.0;53.0;63.0
06/22/2017;80.0;57.0;48.0;43.0;34.0;56.0;64.0
06/23/2017;80.0;35.0;41.0;27.0;21.0;54.0;42.0
06/24/2017;58.0;24.0;24.0;20.0;14.0;33.0;31.0
06/25/2017;50.0;32.0;29.0;32.0;19.0;28.0;45.0
06/26/2017;55.0;30.0;28.0;23.0;17.0;38.0;42.0
06/27/2017;62.0;31.0;29.0;32.0;22.0;40.0;51.0
06/28/2017;44.0;17.0;16.0;11.0;8.0;24.0;16.0
06/29/2017;39.0;22.0;15.0;10.0;7.0;26.0;24.0
06/30/2017;32.0;27.0;14.0;9.0;30.0;24.0
07/01/2017;20.0;10.0;8.0;15.0;4.0;13.0;29.0
07/02/2017;28.0;12.0;12.0;15.0;8.0;12.0;33.0
07/03/2017;47.0;36.0;28.0;26.0;17.0;28.0;58.0
07/04/2017;48.0;39.0;30.0;26.0;16.0;25.0;67.0
07/05/2017;48.0;36.0;27.0;19.0;13.0;31.0;51.0
07/06/2017;54.0;39.0;27.0;41.0;29.0;34.0;49.0
07/07/2017;53.0;35.0;30.0;39.0;27.0;31.0;50.0
07/08/2017;51.0;36.0;31.0;35.0;19.0;31.0;50.0
07/09/2017;62.0;40.0;36.0;37.0;28.0;34.0;43.0
07/10/2017;61.0;34.0;36.0;28.0;17.0;48.0;43.0
07/11/2017;71.0;47.0;47.0;47.0;29.0;52.0;78.0
07/12/2017;94.0;60.0;71.0;54.0;41.0;66.0;87.0
07/13/2017;101.0;62.0;66.0;63.0;46.0;62.0;89.0
07/14/2017;76.0;42.0;43.0;42.0;30.0;51.0;80.0
07/15/2017;45.0;27.0;25.0;21.0;14.0;18.0;62.0
07/16/2017;42.0;32.0;28.0;28.0;12.0;28.0;61.0
07/17/2017;67.0;45.0;44.0;37.0;22.0;44.0;79.0
07/18/2017;59.0;42.0;35.0;29.0;22.0;38.0
07/19/2017;53.0;24.0;23.0;19.0;12.0;39.0;29.0
07/20/2017;57.0;35.0;27.0;21.0;16.0;38.0;44.0
07/21/2017;57.0;31.0;28.0;25.0;19.0;44.0;40.0
07/22/2017;54.0;25.0;23.0;21.0;16.0;32.0;38.0
07/23/2017;40.0;21.0;16.0;27.0;12.0;23.0;35.0
07/24/2017;38.0;25.0;20.0;23.0;13.0;24.0;38.0
07/25/2017;29.0;18.0;12.0;17.0;9.0;19.0;35.0
07/26/2017;53.0;41.0;27.0;27.0;20.0;33.0;44.0
07/27/2017;66.0;40.0;39.0;38.0;29.0;46.0;56.0
07/28/2017;93.0;60.0;59.0;44.0;38.0;61.0;65.0
07/29/2017;72.0;56.0;51.0;38.0;33.0;54.0;61.0
07/30/2017;57.0;31.0;34.0;32.0;23.0;35.0;44.0
07/31/2017;56.0;35.0;31.0;29.0;20.0;41.0;47.0
08/01/2017;53.0;31.0;25.0;22.0;15.0;37.0;42.0
