fecha;estacion004;estacion008;estacion011;estacion035;estacion038;estacion039;estacion047;estacion048;estacion049;estacion050
03/15/2017;40.0;51.0;29.0;44.0;35.0;29.0;35.0;26.0;22.0;25.0
03/16/2017;52.0;53.0;40.0;45.0;35.0;35.0;36.0;37.0;25.0;31.0
03/17/2017;67.0;63.0;44.0;58.0;51.0;48.0;46.0;34.0;29.0;38.0
03/18/2017;66.0;70.0;49.0;65.0;52.0;59.0;59.0;45.0;41.0;48.0
03/19/2017;57.0;76.0;48.0;59.0;52.0;57.0;55.0;48.0;42.0;46.0
03/20/2017;40.0;52.0;25.0;43.0;31.0;33.0;40.0;25.0;23.0;28.0
03/21/2017;28.0;50.0;29.0;33.0;28.0;27.0;25.0;31.0;19.0;35.0
03/22/2017;25.0;50.0;27.0;29.0;25.0;26.0;22.0;31.0;17.0;34.0
03/23/2017;35.0;52.0;48.0;37.0;37.0;35.0;34.0;41.0;29.0;44.0
03/24/2017;51.0;58.0;47.0;50.0;46.0;34.0;46.0;39.0;34.0;40.0
03/25/2017;48.0;57.0;52.0;48.0;43.0;41.0;48.0;48.0;37.0;44.0
03/26/2017;37.0;36.0;31.0;30.0;23.0;23.0;19.0;29.0;14.0;23.0
03/27/2017;30.0;50.0;30.0;32.0;26.0;30.0;26.0;37.0;18.0;41.0
03/28/2017;45.0;69.0;46.0;47.0;36.0;44.0;57.0;46.0;34.0;43.0
03/29/2017;59.0;79.0;62.0;59.0;61.0;60.0;62.0;59.0;47.0;52.0
03/30/2017;58.0;79.0;55.0;57.0;57.0;60.0;50.0;56.0;45.0;49.0
03/31/2017;43.0;66.0;38.0;44.0;36.0;35.0;43.0;43.0;28.0;40.0
04/01/2017;25.0;44.0;20.0;30.0;18.0;14.0;14.0;18.0;9.0;20.0
04/02/2017;31.0;39.0;21.0;33.0;25.0;16.0;23.0;15.0;16.0;16.0
04/03/2017;46.0;56.0;39.0;48.0;45.0;41.0;43.0;31.0;26.0;27.0
04/04/2017;59.0;71.0;47.0;60.0;56.0;49.0;53.0;38.0;39.0;33.0
04/05/2017;23.0;42.0;20.0;35.0;31.0;17.0;26.0;14.0;16.0
04/06/2017;35.0;51.0;28.0;46.0;38.0;28.0;38.0;22.0;21.0;27.0
04/07/2017;49.0;54.0;40.0;46.0;41.0;40.0;34.0;35.0;28.0;35.0
04/08/2017;57.0;52.0;40.0;45.0;33.0;37.0;34.0;34.0;21.0;33.0
