PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;17;1;28079017_1_38;2018;01;08;00003;V;00003;V;00002;V;00003;V;00002;V;00002;V;00003;V;00003;V;00004;V;00003;V;00003;V;00004;V;00004;V;00004;V;00004;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;17;7;28079017_7_8;2018;01;08;00027;V;00022;V;00007;V;00004;V;00002;V;00007;V;00021;V;00029;V;00054;V;00041;V;00028;V;00024;V;00015;V;00018;V;00017;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;17;8;28079017_8_8;2018;01;08;00062;V;00060;V;00046;V;00037;V;00027;V;00039;V;00054;V;00068;V;00077;V;00070;V;00056;V;00053;V;00042;V;00045;V;00047;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;17;12;28079017_12_8;2018;01;08;00103;V;00095;V;00057;V;00044;V;00030;V;00050;V;00086;V;00112;V;00160;V;00133;V;00098;V;00089;V;00065;V;00073;V;00073;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;17;14;28079017_14_6;2018;01;08;02.12;V;04.93;V;09.16;V;16.38;V;25.08;V;13.43;V;08.44;V;02.01;V;02.11;V;06.21;V;17.13;V;21.82;V;32.27;V;32.04;V;31.75;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;1;28079018_1_38;2018;01;08;00006;V;00005;V;00005;V;00005;V;00004;V;00005;V;00004;V;00006;V;00008;V;00009;V;00009;V;00009;V;00009;V;00009;V;00007;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;6;28079018_6_48;2018;01;08;000.5;V;000.5;V;000.5;V;000.4;V;000.4;V;000.3;V;000.4;V;000.6;V;000.7;V;000.7;V;000.5;V;000.4;V;000.4;V;000.4;V;000.4;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;7;28079018_7_8;2018;01;08;00008;V;00012;V;00006;V;00003;V;00002;V;00002;V;00005;V;00025;V;00069;V;00087;V;00031;V;00027;V;00020;V;00021;V;00012;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;8;28079018_8_8;2018;01;08;00058;V;00058;V;00047;V;00031;V;00022;V;00026;V;00038;V;00068;V;00082;V;00087;V;00058;V;00050;V;00042;V;00044;V;00041;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;10;28079018_10_47;2018;01;08;00008;V;00007;V;00007;V;00006;V;00004;V;00004;V;00003;V;00004;V;00007;V;00011;V;00009;V;00007;V;00009;V;00009;V;00008;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;12;28079018_12_8;2018;01;08;00070;V;00077;V;00055;V;00036;V;00025;V;00029;V;00046;V;00107;V;00189;V;00220;V;00105;V;00092;V;00073;V;00076;V;00060;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;14;28079018_14_6;2018;01;08;09.77;V;04.34;V;06.69;V;19.05;V;32.05;V;24.20;V;18.80;V;02.80;V;01.08;V;04.43;V;21.02;V;28.85;V;37.16;V;37.98;V;44.15;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;20;28079018_20_59;2018;01;08;001.3;V;001.1;V;001.6;V;001.1;V;000.7;V;000.9;V;000.7;V;001.8;V;002.0;V;002.4;V;002.8;V;001.7;V;001.6;V;001.5;V;001.2;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;30;28079018_30_59;2018;01;08;000.6;V;000.4;V;000.4;V;000.3;V;000.2;V;000.3;V;000.2;V;000.6;V;000.7;V;001.1;V;000.8;V;000.5;V;000.4;V;000.4;V;000.4;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;35;28079018_35_59;2018;01;08;000.2;V;000.2;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.3;V;000.4;V;000.3;V;000.1;V;000.2;V;000.2;V;000.2;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
